name,Pace,Categories,Labels,Specific,Orignal name,,original codec,original resolution,original bit rate,original frame rate
64,Medium,Animation,,BigBuckBunny,SampleVideo_640x360_20mb(1),,mpeg4,640 × 368,923,25
65,Slow,Artifact,,Lego,small,,MPEG-4 ,560 × 320,496,30
66,Medium,Nature,Weather,Snow,Snowy Trees - 7328,,H.264,3840 × 2160,12239,30
67,Fast,Artifact,,Signal,SoundWaveAlphaMatteVidevo,,H.264 ,1280 × 720,13690,25
68,Fast,Nature,Universe,MeteorShower,star_trails,,MPEG-4 Video,1280 × 720,712,25
69,Medium,Nature,Weather,Cloud,Sunrise - 1844,,H.264,1920 × 1080,5329,25
70,Medium,Human,,Cooking,taiwanese_pancake_with_egg_dan_bng,,H.264,1920 × 1080,2726,30
71,Slow,Nature,Plant,Sapling,Wine_Country_3,,H.264,1920 × 1080,19908,25
72,Fast,Nature,Universe,Meteor,_test_ts,,MPEG-2,720 × 480,337,30
73,Medium,Human,,Cooking,how_to_cook_fried_noodles_in_chinese_wok_properly_1080p,,H.264,1920 × 1080,2704,25
74,Slow,Animal,,Tiger,Tiger,,H.264,1920 × 1080,21173,29.97
75,Medium,Artifact,,Metro,pointing_and_calling_japanese_safety_standard_at_railway_companies_toyota_hd_1080p,,H.264 ,1920 × 1080,1821,29.97
76,Medium,Artifact,,Car,TRA3106,,JPEG,720x496,32429,30
77,Slow,Artifact,,Clock,video-sample,,MPEG-4 ,320x240,1000,10
78,Slow,Artifact,,Displayer,Volume_1.,,H.264,1920 × 1080,2406,24
79,Fast,Artifact,,Displayer,VUMetersWhitewithAlphaVidevo,,Run-length encoding,1920 × 1080,26207,25
80,Medium,Human,,Cooking,beautiful_beef_wellington_jamie_oliver_1080p,,H.264,1920 × 1080,2212,25
81,Medium,Human,Daily,Drive,japan_railways_jr_train_bahn_zug_vonat_vasut__ziu,,H.264,1920 × 1080,2379,30
82,Fast,Nature,Universe,Earth,Easy Hawaiian BBQ Chicken Kabobs on the Grill,,H.264,1920 × 1080,9815,25
83,Medium,Human,,Cooking,Easy Hawaiian BBQ Chicken Kabobs on the Grill,,H.264,724 × 720,1363,30
84,Slow,Nature,Universe,Galaxy,ESOcast 105 Light_ Starstruck by the Small Magellanic Cloud ,,H.264,1920 × 1080,3244,25
85,Medium,Nature,Universe,Galaxy,ESOcast 171 Light_ Colourful Celestial Landscape (4K UHD),,H.264,1920 × 1080,1523,25
86,Medium,Nature,Universe,Galaxy,ESOCast 183 Light_ Stunning Exoplanet Time-lapse (4K UHD),,H.264,1920 × 1080,1338,25
87,Medium,Human,,Cooking,How to Make Meatballs,,H.264,1280 x 720 ,918,30
88,Medium,Human,Sport,Bungee,sky_jump_experience_at_the_sky_tower_1080p,,H.264,1920 x 1080,4992,23.98
89,Medium,Animation,,FutureCity,American Transportation 2018 _ Japan technology _ USA Technology _ New Technology 2018,,H.264,1280 x 720,1026,25
90,Fast,Human,Sport,Hunting,Argentina dove hunting with C&C Outfitters - Short video 2018,,H.264,1080 x 720,4134,25
91,Medium,Animation,,Bao,Bao - A CGI Animated Short film by Pixar,,H.264,1280 × 720,44100,24
92,Fast,Human,Sport,Dance,CHADHAL JAWANI RASGULLA _ NICE VIDEO _ SHORT VIDEO _ 3KVIDEOZ _ MUST WATCH _,,H.264,640 x 360,730,29.97
93,Medium,Artifact,,Dam,DHURWA DAM AERIAL FOOTAGE SHORT VIDEO HD -RANCHI # SPORTS MODE,,H.264,1080 x 720,2379,23.77
94,Medium,Human ,,Cooking,Food video_ Heart-shaped steamed eggs_Tiny Cooking _ Hobby Cook ,,H.264,1080 x 720,693,25
95,Medium,Human,Daily,Talking,Konnichiwa_ and _Sayonara_ in Japan,,H.264,854 x 480,946,23.98
96,Medium,Animal,,Cat,Lovely Cutest Short leg munchkin cat - kittens video,,H.264,426 x 240,206,30
97,Medium,Human,Sport,Dance,NAAYA SAAL MEIN TU RAHA HARIHAR _ NICE SHORT CLIPPED VIDEO _ 3KVIDEOZ _ MUST WATCH _,,H.264,426 x 240,395,29.97
98,Slow,Nature,Geography,Coast,No Copyright Video - Sea View _ Landscape - short clip,,H.264,640 x 360,749,29.97
99,Slow,Nature,Universe,Star,Short Time-lapse Video of Stars including a Shooting Star,,H.264,1280 x 720,677,25
100,Medium,Human,Daily,Farming,short Video_ Start Saatkartoffelernte bei Kollege Bernhard,,H.264,854 x 480,1256,30
